timestamp;device;l1_n_v;l2_n_v;l3_n_v;l1_l2_v;l2_l3_v;l3_l1_v;l1_a;l2_a;l3_a;pot_aparente_va;pot_activa_w;pot_reactiva_var;freq_hz;fp_total;energ_activa_wh;energ_reactiva_varh;energ_aparente_vah
2026-01-01 00:00:00;PAC3200-1;251.49;251.49;251.49;435.6;435.6;435.6;0;0;0;0;0;0;60.1;0;0;0;0
2026-01-01 00:15:00;PAC3200-1;254.03;251.49;251.49;440;435.6;435.6;0;0;0;0;0;0;60.1;0;0;0;0
2026-01-01 00:30:00;PAC3200-1;254.03;254.03;251.49;440;440;435.6;0;0;0;0;0;0;60.1;0;0;0;0
2026-01-01 00:45:00;PAC3200-1;254.03;254.03;251.49;440;440;435.6;59.66;58.43;59.66;54426.27;30604.44;45006.53;60.1;0.56;0;0;0
2026-01-01 01:00:00;PAC3200-1;254.03;254.03;251.49;440;440;435.6;70.21;68.77;70.92;64265.58;36137.18;53142.91;60.1;0.56;30604.44;45006.53;54426.27
2026-01-01 01:15:00;PAC3200-1;254.03;251.49;251.49;440;435.6;435.6;58.35;58.96;59.56;53970.79;30348.32;44629.88;60.1;0.56;66741.62;98149.44;118691.85
2026-01-01 01:30:00;PAC3200-1;251.49;251.49;254.03;435.6;435.6;440;55.45;55.45;55.45;50766.98;28546.78;41980.56;60.1;0.56;97089.94;142779.32;172662.65
2026-01-01 01:45:00;PAC3200-1;251.49;254.03;254.03;435.6;440;440;64.61;65.28;64.61;59551.54;33486.43;49244.75;60.1;0.56;125636.72;184759.88;223429.63
2026-01-01 02:00:00;PAC3200-1;254.03;254.03;254.03;440;440;440;57.06;57.06;59.46;53322.23;29983.62;44093.57;60.1;0.56;159123.15;234004.63;282981.17
2026-01-01 02:15:00;PAC3200-1;254.03;254.03;251.49;440;440;435.6;0;0;0;0;0;0;60.1;0;189106.77;278098.19;336303.4
2026-01-01 02:30:00;PAC3200-1;251.49;251.49;254.03;435.6;435.6;440;0;0;0;0;0;0;60.1;0;189106.77;278098.19;336303.4
2026-01-01 02:45:00;PAC3200-1;254.03;251.49;254.03;440;435.6;440;0;0;0;0;0;0;60.1;0;189106.77;278098.19;336303.4
2026-01-01 03:00:00;PAC3200-1;251.49;251.49;251.49;435.6;435.6;435.6;0;0;0;0;0;0;60.1;0;189106.77;278098.19;336303.4
2026-01-01 03:15:00;PAC3200-1;251.49;254.03;254.03;435.6;440;440;0;0;0;0;0;0;60.1;0;189106.77;278098.19;336303.4
2026-01-01 03:30:00;PAC3200-1;251.49;251.49;254.03;435.6;435.6;440;67.38;68.79;69.49;62760;35290.57;51897.9;60.1;0.56;189106.77;278098.19;336303.4
2026-01-01 03:45:00;PAC3200-1;251.49;254.03;254.03;435.6;440;440;49.32;49.84;48.81;45306.62;25476.37;37465.24;60.1;0.56;224397.35;329996.1;399063.4
2026-01-01 04:00:00;PAC3200-1;254.03;251.49;254.03;440;435.6;440;55.31;54.18;53.62;49941.89;28082.82;41298.27;60.1;0.56;249873.71;367461.34;444370.01
2026-01-01 04:15:00;PAC3200-1;251.49;254.03;251.49;435.6;440;435.6;68.77;68.06;70.21;63176.18;35524.6;52242.06;60.1;0.56;277956.54;408759.61;494311.9
2026-01-01 04:30:00;PAC3200-1;251.49;251.49;254.03;435.6;435.6;440;61.18;63.11;61.82;56793.52;31935.57;46964.07;60.1;0.56;313481.14;461001.67;557488.09
