timestamp;device;l1_n_v;l2_n_v;l3_n_v;l1_l2_v;l2_l3_v;l3_l1_v;l1_a;l2_a;l3_a;pot_aparente_va;pot_activa_w;pot_reactiva_var;freq_hz;fp_total;energ_activa_wh;energ_reactiva_varh;energ_aparente_vah
2026-01-01 00:00:00;PAC3200-2;251.49;251.49;251.49;435.6;435.6;435.6;0;0;0;0;0;0;60.1;0;151000000;0;0
2026-01-01 00:15:00;PAC3200-2;251.49;251.49;254.03;435.6;435.6;440;151.61;151.61;151.61;138794.45;78045.51;114772.81;60.1;0.56;151000000;0;0
2026-01-01 00:30:00;PAC3200-2;254.03;254.03;251.49;440;440;435.6;143.38;146.36;143.38;132613.68;74570;109661.76;60.1;0.56;151078045.51;114772.81;138794.45
2026-01-01 00:45:00;PAC3200-2;254.03;251.49;254.03;440;435.6;440;159.89;153.43;158.28;144408.3;81202.23;119415.05;60.1;0.56;151152615.51;224434.58;271408.13
2026-01-01 01:00:00;PAC3200-2;251.49;254.03;254.03;435.6;440;440;154.74;151.61;150.05;139730.76;78572.01;115547.07;60.1;0.56;151233817.75;343849.63;415816.43
2026-01-01 01:15:00;PAC3200-2;254.03;254.03;251.49;440;440;435.6;161.72;160.05;161.72;148032.05;83239.91;122411.63;60.1;0.56;151312389.75;459396.7;555547.19
2026-01-01 01:30:00;PAC3200-2;251.49;251.49;251.49;435.6;435.6;435.6;165.08;163.38;163.38;149586.44;84113.95;123696.99;60.1;0.56;151395629.66;581808.33;703579.25
2026-01-01 01:45:00;PAC3200-2;254.03;254.03;254.03;440;440;440;131.98;136.15;136.15;124197.87;69837.71;102702.51;60.1;0.56;151479743.61;705505.31;853165.68
2026-01-01 02:00:00;PAC3200-2;254.03;251.49;254.03;440;435.6;440;170.21;166.77;170.21;155298.92;87326.14;128420.8;60.1;0.56;151549581.32;808207.83;977363.56
2026-01-01 02:15:00;PAC3200-2;254.03;254.03;251.49;440;440;435.6;142.96;140.04;142.96;130419.86;73336.39;107847.64;60.1;0.56;151636907.46;936628.62;1132662.48
